Country,Value,Date,Day
Liberia,5,41737,15
Liberia,5,41738,16
Liberia,5,41739,17
Liberia,5,41742,20
Liberia,6,41745,23
Liberia,6,41747,25
Liberia,6,41750,28
Liberia,6,41752,30
Liberia,6,41753,31
Liberia,6,41761,39
Liberia,6,41768,46
Liberia,6,41792,70
Liberia,7,41797,75
Liberia,11,41801,79
Liberia,16,41803,81
Liberia,18,41806,84
Liberia,24,41809,87
Liberia,34,41812,90
Liberia,38,41816,94
Liberia,52,41820,98
Liberia,54,41822,100
Liberia,63,41826,104
Liberia,70,41828,106
Liberia,70,41832,110
Liberia,70,41834,112
Liberia,76,41837,115
Liberia,77,41840,118
Liberia,84,41843,121
Liberia,100,41847,125
Liberia,129,41852,130
Liberia,143,41855,133
Liberia,148,41857,135
Liberia,158,41860,138
Liberia,263,41871,149
Liberia,322,41875,153
Liberia,322,41876,154
Liberia,342,41877,155
Liberia,22,41879,157
Liberia,392,41880,158
Liberia,392,41881,159
Liberia,392,41882,160
Liberia,406,41883,161
Liberia,590,41884,162
Liberia,608,41885,163
Liberia,620,41886,164
Liberia,622,41887,165
Liberia,628,41888,166
Liberia,648,41889,167
Liberia,700,41890,168
Liberia,790,41892,170
Liberia,790,41893,171
Liberia,806,41896,174
Liberia,823,41897,175
Liberia,847,41898,176
Liberia,861,41899,177
Liberia,883,41901,179
Liberia,866,41902,180
Liberia,884,41903,181
Liberia,892,41904,182
Liberia,908,41905,183
Liberia,915,41907,185
Liberia,917,41908,186
Liberia,919,41909,187
Liberia,921,41910,188
Liberia,924,41911,189
Liberia,925,41912,190
Liberia,926,41913,191
Liberia,928,41914,192
Liberia,930,41915,193
Liberia,935,41916,194
Liberia,935,41917,195
Liberia,948,41921,199
Liberia,957,41928,206
Liberia,958,41929,207
Liberia,965,41930,208
Liberia,2218,41934,212
Liberia,2229,41935,213
Liberia,2232,41936,214
Liberia,2240,41937,215
Liberia,2303,41939,217
Liberia,2304,41940,218
Liberia,2395,41941,219
Liberia,2437,41942,220
Liberia,2451,41943,221
Liberia,2456,41945,223
Liberia,2472,41946,224
Liberia,2514,41947,225
Liberia,2536,41949,227
Liberia,2542,41950,228
Liberia,2553,41951,229
Liberia,2628,41956,234
Liberia,2669,41959,237
Liberia,2673,41961,239
Liberia,2717,41962,240
Liberia,2726,41963,241
Liberia,2726,41964,242
Liberia,2727,41965,243
Liberia,2738,41966,244
Liberia,2753,41967,245
